scorer,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000
bodyparts,north,north,north,east,east,east,south,south,south,west,west,west
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
88,107.56206512451172,53.717140197753906,1.0,160.7875213623047,59.80112838745117,1.0,152.6029815673828,110.60001373291016,1.0,107.07855224609375,101.59397888183594,1.0
89,108.15154266357422,53.576290130615234,1.0,162.63125610351562,60.934627532958984,1.0,152.3793487548828,112.08543395996094,1.0,107.69552612304688,101.30357360839844,1.0
90,108.15154266357422,53.576290130615234,1.0,162.63125610351562,60.934627532958984,1.0,152.3793487548828,112.08543395996094,1.0,107.69552612304688,101.30357360839844,1.0
91,106.99273681640625,54.441490173339844,1.0,160.6368865966797,60.073890686035156,1.0,152.06800842285156,111.50788879394531,1.0,106.83120727539062,101.72916412353516,1.0
92,107.41136932373047,54.239341735839844,1.0,160.9087371826172,61.189884185791016,1.0,151.5040740966797,111.96778106689453,1.0,106.45405578613281,101.85079956054688,1.0
93,105.49373626708984,54.45586395263672,1.0,159.90028381347656,59.7169075012207,1.0,151.83551025390625,111.88296508789062,1.0,105.39539337158203,102.86402130126953,1.0
94,108.40520477294922,54.155235290527344,1.0,162.36346435546875,62.25997543334961,1.0,151.52035522460938,113.19124603271484,1.0,106.70182037353516,102.4002685546875,1.0
95,108.40520477294922,54.155235290527344,1.0,162.36346435546875,62.25997543334961,1.0,151.52035522460938,113.19124603271484,1.0,106.70182037353516,102.4002685546875,1.0
96,107.13227844238281,53.8199462890625,1.0,161.1475830078125,61.26886749267578,1.0,150.8509521484375,113.04640197753906,1.0,105.59612274169922,102.4869613647461,1.0
97,107.40409088134766,54.08377456665039,1.0,161.8753662109375,62.17011260986328,1.0,151.06732177734375,113.43162536621094,1.0,105.98385620117188,102.66282653808594,1.0
98,109.50837707519531,57.452178955078125,1.0,167.25616455078125,66.90801239013672,1.0,159.33303833007812,114.07113647460938,1.0,108.58268737792969,105.69989776611328,1.0
99,109.50837707519531,57.452178955078125,1.0,167.25616455078125,66.90801239013672,1.0,159.33303833007812,114.07113647460938,1.0,108.58268737792969,105.69989776611328,1.0
100,111.72562408447266,55.556175231933594,1.0,168.27413940429688,64.67817687988281,1.0,161.22467041015625,113.86734771728516,1.0,110.7480239868164,104.6348876953125,1.0
101,114.15949249267578,53.11317443847656,1.0,170.7797088623047,64.36331176757812,1.0,161.941650390625,113.42045593261719,1.0,112.05091857910156,103.03109741210938,1.0
102,114.15949249267578,53.11317443847656,1.0,170.7797088623047,64.36331176757812,1.0,161.941650390625,113.42045593261719,1.0,112.05091857910156,103.03109741210938,1.0
103,114.17752838134766,53.3245735168457,1.0,171.01637268066406,64.54562377929688,1.0,162.20875549316406,114.00115203857422,1.0,112.14983367919922,103.60214233398438,1.0
104,113.31820678710938,53.75088882446289,1.0,169.4109649658203,63.979801177978516,1.0,162.27267456054688,114.24365234375,1.0,111.67064666748047,104.79857635498047,1.0
105,113.31820678710938,53.75088882446289,1.0,169.4109649658203,63.979801177978516,1.0,162.27267456054688,114.24365234375,1.0,111.67064666748047,104.79857635498047,1.0
106,114.0373306274414,53.587852478027344,1.0,171.05087280273438,64.74947357177734,1.0,162.9251251220703,114.76699829101562,1.0,112.27698516845703,104.92744445800781,1.0
107,114.0373306274414,53.587852478027344,1.0,171.05087280273438,64.74947357177734,1.0,162.9251251220703,114.76699829101562,1.0,112.27698516845703,104.92744445800781,1.0
108,112.6312484741211,53.72660446166992,1.0,170.72601318359375,64.98037719726562,1.0,162.46009826660156,114.68895721435547,1.0,111.66502380371094,105.26118469238281,1.0
109,112.6312484741211,53.72660446166992,1.0,170.72601318359375,64.98037719726562,1.0,162.46009826660156,114.68895721435547,1.0,111.66502380371094,105.26118469238281,1.0
110,113.27677154541016,53.57647705078125,1.0,170.91819763183594,64.84278106689453,1.0,162.49392700195312,114.5552978515625,1.0,111.34635925292969,105.26403045654297,1.0
111,113.92010498046875,53.34708023071289,1.0,171.328125,64.72650146484375,1.0,163.22372436523438,115.0426025390625,1.0,111.94661712646484,105.47412109375,1.0
